id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,change_direction
zcash,zec,Zcash,https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740,197358.0,3233459128874,18,3233958450278,518959608057.0,201973.0,171646.0,25669.0,14.95081,440661932520.0,15.77852,16401751.7280448,16404284.5405448,21000000.0,901417.0,-78.14853,2016-10-29T00:00:00.000Z,5840.14,3272.74091,2024-07-05T04:22:29.321Z,,2025-11-23T22:54:25.808Z,+
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,100631.0,965700597228,47,2113022303620,67124365526.0,101613.0,89798.0,10498.74,11.6481,99838332559.0,11.53051,9597491.0,21000000.0,21000000.0,289917.0,-65.33807,2024-12-06T12:15:28.199Z,10528.28,854.48365,2023-05-14T08:57:53.732Z,,2025-11-23T22:54:26.866Z,+
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,129830.0,2404051629627,28,2404051629627,67980754122.0,135511.0,122604.0,5932.26,4.7880400000000005,122005242264.0,5.34631,18446744.07370955,18446744.07370955,,152680.0,-14.77358,2025-11-09T12:17:29.442Z,58.52,222272.80529,2015-01-14T00:00:00.000Z,,2025-11-23T22:54:25.829Z,+
sbtc-2,sbtc,sBTC,https://coin-images.coingecko.com/coins/images/54285/large/sbtc-logo-orange-bg-white-circle-1000px_2.png?1739000556,29253667.0,128059215109,181,128059244238,17975543.0,33709382.0,27859740.0,1334590.0,4.78021,5842291448.0,4.78026,4377.54406844,4377.54506419,,69932628.0,-58.37773,2025-10-18T13:10:54.662Z,17911804.0,62.50484,2025-06-06T20:20:33.912Z,,2025-11-23T22:54:26.815Z,+
clbtc,clbtc,clBTC,https://coin-images.coingecko.com/coins/images/54164/large/clBTC.png?1738482999,29296057.0,226259802789,126,226259802789,699.13,29355096.0,28006008.0,1290048.0,4.60633,9963322672.0,4.60633,7723.217000000001,7723.217000000001,,43625369.0,-32.84183,2025-07-24T19:16:34.717Z,18187379.0,61.08973,2025-04-21T12:36:24.067Z,,2025-11-23T22:54:26.541Z,+
bitcoin-avalanche-bridged-btc-b,btc.b,Avalanche Bridged BTC (Avalanche),https://coin-images.coingecko.com/coins/images/26115/large/btcb.png?1696525205,29265174.0,120804607476,191,120804607476,6623202322.0,29290707.0,28162969.0,1091566.0,3.8744300000000003,4233423056.0,3.63162,4130.97518937,4130.97518937,,43570396.0,-32.89324,2025-01-20T07:22:25.522Z,2769959.0,955.56362,2023-03-03T05:01:42.603Z,,2025-11-23T22:54:26.891Z,+
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,29284231.0,584296423862361,1,584296423862361,19600770502864.0,29338637.0,28185946.0,1075771.0,3.81365,21471153774531.0,3.81489,19952637.0,19952637.0,21000000.0,43582313.0,-32.88916,2025-01-20T09:11:54.494Z,46598.0,62667.55801,2015-01-14T00:00:00.000Z,,2025-11-23T22:54:23.277Z,+
unit-bitcoin,ubtc,Unit Bitcoin,https://coin-images.coingecko.com/coins/images/55066/large/ubtc.jpg?1743580113,29271627.0,95820285682,218,614840697111977,31510950337.0,29297250.0,28197313.0,1073430.0,3.80673,3573538649.0,3.8738900000000003,3272.75993401,20999999.99993401,21000000.0,42136731.0,-30.59157,2025-07-14T07:45:09.365Z,27042187.0,8.15118,2025-11-21T12:30:52.228Z,,2025-11-23T22:54:27.155Z,+
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,29295711.0,2174013663703,29,2174013663703,123120664327.0,29323818.0,28185219.0,1018336.0,3.6012399999999998,83231008465.0,3.98085,74278.29249531,74278.29249531,,43719976.0,-33.03717,2025-01-20T09:20:53.854Z,20381122.0,43.64339,2024-09-16T17:24:36.265Z,,2025-11-23T22:54:26.512Z,+
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,29245388.0,3655131470078,15,3655131470078,82143148045.0,29249621.0,28118817.0,1015252.0,3.59634,83756648309.0,2.34522,124963.48883569,124963.48883569,124963.48883569,43436854.0,-32.73808,2025-01-20T09:21:28.630Z,900861.0,3143.16913,2019-03-25T00:00:00.000Z,,2025-11-23T22:54:26.172Z,+
lombard-staked-btc,lbtc,Lombard Staked BTC,https://coin-images.coingecko.com/coins/images/39969/large/LBTC_Logo.png?1724959872,29262298.0,337543172757,98,337543172757,819929125.0,29343879.0,28144260.0,998545.0,3.53295,13165041974.0,4.05855,11526.19148094,11526.19148094,,45364519.0,-35.46295,2025-02-04T01:47:44.052Z,18520075.0,58.08209,2024-09-06T21:01:52.094Z,,2025-11-23T22:54:26.411Z,+
arbitrum-bridged-wbtc-arbitrum-one,wbtc,Arbitrum Bridged WBTC (Arbitrum One),https://coin-images.coingecko.com/coins/images/39532/large/wbtc.png?1722810336,29221329.0,235984871400,122,235984871400,32482128543.0,29263612.0,28131004.0,902596.0,3.18728,8284449149.0,3.63831,8077.23200998,8077.23200998,,43426490.0,-32.73899,2025-01-20T09:11:53.545Z,17998804.0,62.28355,2024-08-05T13:30:13.831Z,,2025-11-23T22:54:27.037Z,+
tbtc,tbtc,tBTC,https://coin-images.coingecko.com/coins/images/11224/large/0x18084fba666a33d37592fa2633fd49a74dd93a88.png?1696511155,29154445.0,182963331635,142,182963331635,3484201083.0,29231422.0,28088837.0,895279.0,3.1681,6546364424.0,3.71073,6272.577990129999,6272.577990129999,,43451158.0,-32.90971,2025-01-20T09:10:27.997Z,3141815.0,827.85569,2020-10-03T00:00:00.000Z,,2025-11-23T22:54:26.954Z,+
ether-fi-liquid-eth,liquideth,Ether.Fi Liquid ETH,https://coin-images.coingecko.com/coins/images/70219/large/liquideth.png?1761117977,1002441.0,136680833440,172,136680833440,3843754.0,1007507.0,971784.0,28425.0,2.91831,-3994417582.151108,-2.83946,136332.177928981,136332.177928981,,1512448.0,-33.77115,2025-10-27T05:30:49.462Z,930201.0,7.68396,2025-11-21T12:32:54.263Z,,2025-11-23T22:54:26.467Z,+
solv-btc,solvbtc,Solv Protocol BTC,https://coin-images.coingecko.com/coins/images/36800/large/solvBTC.png?1719810684,29145304.0,307784023627,107,307784029742,75774990.0,29238415.0,28058287.0,814591.0,2.87529,10377549336.0,3.48935,10569.27829721778,10569.27850721778,21000000.0,43610348.0,-33.23865,2025-01-20T07:17:19.296Z,17929734.0,62.38309,2024-08-05T06:28:45.311Z,,2025-11-23T22:54:17.227Z,+
