id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,change_direction
binance-peg-weth,weth,Binance-Peg WETH,https://coin-images.coingecko.com/coins/images/39580/large/weth.png?1723006716,2966.67,1794734773,66,1794734773,85952089.0,2978.65,2767.26,148.8,5.28065,86230662.0,5.04714,604999.9999588211,604999.9999588211,,4955.78,-40.07697,2025-08-24T19:14:00.505Z,1394.32,112.98247,2025-04-09T01:32:41.942Z,,2025-11-24T21:15:19.491Z,+
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,3208.28,7614956236,26,7614956236,80763828.0,3222.59,2988.58,160.8,5.27652,374313286.0,5.16961,2372919.733619733,2372919.733619733,,5296.78,-39.39451,2025-08-24T19:25:19.771Z,1505.24,113.26502,2025-04-09T03:45:31.391Z,,2025-11-24T21:15:18.768Z,+
rocket-pool-eth,reth,Rocket Pool ETH,https://coin-images.coingecko.com/coins/images/20764/large/reth.png?1696520159,3404.09,1270562499,82,1270562499,13050371.0,3419.5,3173.58,169.84,5.25135,56217951.0,4.62949,373135.8146251013,373135.8146251013,,5618.08,-39.29252,2025-08-24T19:25:20.811Z,887.26,284.39496,2022-06-18T20:55:45.957Z,,2025-11-24T21:15:09.031Z,+
liquid-staked-ethereum,lseth,Liquid Staked ETH,https://coin-images.coingecko.com/coins/images/28848/large/LsETH-receipt-token-circle.png?1696527824,3161.21,996423373,103,996423373,112288.0,3168.73,2964.43,157.66,5.2491,48249557.0,5.08868,314718.568600489,314718.568600489,,5334.09,-40.63705,2025-08-24T19:17:38.271Z,1384.61,128.69117,2023-03-10T11:26:12.210Z,,2025-11-24T21:15:08.942Z,+
l2-standard-bridged-weth-base,weth,L2 Standard Bridged WETH (Base),https://coin-images.coingecko.com/coins/images/39810/large/weth.png?1724139790,2968.98,569750402,141,569750402,789749699.0,2979.53,2774.98,147.13,5.21393,16799738.0,3.0382,192055.0293546685,192055.0293546685,,4952.69,-40.02595,2025-08-24T19:25:21.091Z,1394.17,113.05325,2025-04-09T01:31:06.248Z,,2025-11-24T21:15:09.838Z,+
arbitrum-bridged-wrapped-eeth,weeth,Arbitrum Bridged Wrapped eETH (Arbitrum),https://coin-images.coingecko.com/coins/images/69123/large/weeth.png?1757579190,3205.78,322087426,206,322087426,178630.0,3218.54,2988.04,158.84,5.21294,13308225.0,4.30995,100410.4109306145,100410.4109306145,,5118.5,-37.33106,2025-10-07T13:40:07.784Z,2837.73,13.03774,2025-11-21T12:31:03.777Z,,2025-11-24T21:15:09.670Z,+
ether-fi-staked-eth,eeth,ether.fi Staked ETH,https://coin-images.coingecko.com/coins/images/33049/large/ether.fi_eETH.png?1700473063,2963.83,415129060,176,8028411270,16579.69,2977.1,2763.56,146.74,5.20885,18091063.0,4.55651,140027.14485853427,2708062.665726956,,5307.23,-44.12065,2024-08-06T16:16:30.007Z,975.47,204.02126,2025-09-02T06:51:33.410Z,,2025-11-24T21:15:09.621Z,+
wrapped-ether-mantle-bridge,weth,Mantle Bridged WETH (Mantle),https://coin-images.coingecko.com/coins/images/31013/large/weth_2.jpg?1758795984,2967.73,244515503,244,244515503,5443361.0,2979.27,2767.75,146.86,5.20602,10682855.0,4.56859,82410.45924858876,82410.45924858876,,4962.42,-40.27597,2025-08-24T19:24:03.164Z,1402.44,111.32931,2025-04-09T01:32:36.128Z,,2025-11-24T21:15:10.011Z,+
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,https://coin-images.coingecko.com/coins/images/30061/large/wbeth-icon.png?1696528983,3213.62,10491778568,17,10491778568,50759745.0,3228.02,2993.6,158.6,5.19128,502493333.0,5.03032,3264390.269462228,3264390.269462228,,5330.78,-39.6849,2025-08-24T19:27:46.809Z,1501.6,114.12248,2025-04-09T03:57:40.245Z,,2025-11-24T21:15:18.690Z,+
arbitrum-bridged-weth-arbitrum-one,weth,Arbitrum Bridged WETH (Arbitrum One),https://coin-images.coingecko.com/coins/images/39713/large/WETH.PNG?1723731496,2967.41,484343482,155,484343482,409807765.0,2984.81,2766.78,146.27,5.18461,9652092.0,2.03334,163220.4585525356,163220.4585525356,,4952.19,-40.08319,2025-08-24T19:25:21.070Z,1395.31,112.65526,2025-04-09T01:32:31.046Z,,2025-11-24T21:15:15.987Z,+
frax-ether,frxeth,Frax Ether,https://coin-images.coingecko.com/coins/images/28284/large/frxETH_icon.png?1696527284,2931.96,292840927,221,292840927,672613.0,2943.21,2739.27,143.96,5.16352,14112757.0,5.06327,99868.94941716292,99868.94941716292,,4906.89,-40.24122,2025-08-24T18:42:39.945Z,1137.25,157.84148,2022-11-23T02:25:33.267Z,,2025-11-24T21:15:09.795Z,+
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2963.55,25598375441,9,25598375441,39415017.0,2975.69,2766.09,144.8,5.13686,1216810213.0,4.9907,8630989.2168131,8630989.2168131,,4932.89,-39.8352,2025-08-24T19:21:31.902Z,482.9,514.59696,2020-12-22T04:08:21.854Z,,2025-11-24T21:15:18.660Z,+
coinbase-wrapped-staked-eth,cbeth,Coinbase Wrapped Staked ETH,https://coin-images.coingecko.com/coins/images/27008/large/cbeth.png?1709186989,3279.59,383224557,187,1224150143,5213228.0,3293.59,3060.56,160.21,5.13588,18079947.0,4.95145,116873.5614104768,373334.0782232124,,5441.47,-39.67525,2025-08-24T19:27:49.680Z,1036.96,216.55651,2022-11-09T23:45:43.665Z,,2025-11-24T21:15:19.648Z,+
stakewise-v3-oseth,oseth,StakeWise Staked ETH,https://coin-images.coingecko.com/coins/images/33117/large/Frame_27513839.png?1700732599,3061.26,598865257,137,598865257,278764.0,3073.58,2856.21,149.22,5.12424,28775630.0,5.04756,195663.1886704,195663.1886704,,5206.8,-41.20022,2025-08-24T19:14:00.394Z,1459.73,109.73675,2025-04-09T01:32:44.161Z,,2025-11-24T21:15:19.346Z,+
