id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,change_direction
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,313.73,3010981968,48,6588244920,242925670.0,322.11,289.2,22.75,7.81768,222751250.0,7.98898,9597491.0,21000000.0,21000000.0,757.6,-58.51842,2024-03-07T18:45:36.466Z,30.83,919.35394,2023-05-14T08:57:53.732Z,,2025-11-26T09:41:17.332Z,+
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,397.02,7335661554,27,7335661554,169074223.0,401.58,371.11,11.21,2.90489,212880012.0,2.98872,18446744.07370955,18446744.07370955,,542.33,-26.71308,2018-01-09T00:00:00.000Z,0.216177,183755.94423,2015-01-14T00:00:00.000Z,,2025-11-26T09:41:17.238Z,+
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,531.5,10608154300,16,10608184198,285412165.0,535.82,517.5,12.13,2.33521,245472708.0,2.36881,19958396.77165078,19958453.02165078,21000000.0,3785.82,-85.95947,2017-12-20T00:00:00.000Z,76.93,590.90855,2018-12-16T00:00:00.000Z,,2025-11-26T09:41:17.327Z,+
ether-fi-liquid-eth,liquideth,Ether.Fi Liquid ETH,https://coin-images.coingecko.com/coins/images/70219/large/liquideth.png?1761117977,3087.53,423020174,170,423020174,68829.0,3167.35,3020.99,51.48,1.69575,9601267.0,2.32241,137009.3240929408,137009.3240929408,,4507.99,-31.39717,2025-10-27T05:30:49.462Z,2783.66,11.09872,2025-11-21T12:32:54.263Z,,2025-11-26T09:41:06.409Z,+
liquid-staked-ethereum,lseth,Liquid Staked ETH,https://coin-images.coingecko.com/coins/images/28848/large/LsETH-receipt-token-circle.png?1696527824,3105.88,977484398,103,977484398,115223.0,3165.69,3061.96,43.92,1.43436,13829695.0,1.43513,314720.9712103397,314720.9712103397,,5334.09,-41.74503,2025-08-24T19:17:38.271Z,1384.61,124.42274,2023-03-10T11:26:12.210Z,,2025-11-26T09:41:05.673Z,+
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,3143.68,7427788688,26,7427788688,60831771.0,3219.7,3094.29,35.83,1.15291,52647727.0,0.71385,2364182.603730451,2364182.603730451,,5296.78,-40.54064,2025-08-24T19:25:19.771Z,1505.24,109.23187,2025-04-09T03:45:31.391Z,,2025-11-26T09:41:17.158Z,+
l2-standard-bridged-weth-base,weth,L2 Standard Bridged WETH (Base),https://coin-images.coingecko.com/coins/images/39810/large/weth.png?1724139790,2907.84,522205964,148,525845031,543590849.0,2975.48,2861.91,33.01,1.14834,-32356582.912366033,-5.83461,179593.4104848298,180844.932717475,,4952.69,-41.19826,2025-08-24T19:25:21.091Z,1394.17,108.88872,2025-04-09T01:31:06.248Z,,2025-11-26T09:41:07.129Z,+
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,3546.74,11698929730,14,11698929730,57086862.0,3628.04,3494.68,39.47,1.1253,93352916.0,0.80438,3301263.447141343,3301839.670606529,,7256.02,-51.07759,2022-05-13T15:09:54.509Z,558.54,535.55337,2022-05-13T01:36:45.053Z,,2025-11-26T09:41:17.118Z,+
rocket-pool-eth,reth,Rocket Pool ETH,https://coin-images.coingecko.com/coins/images/20764/large/reth.png?1696520159,3338.67,1242136480,83,1241301185,3223640.0,3419.39,3286.58,37.03,1.12157,12713332.0,1.03409,372326.4345610924,372076.0577848347,,5618.08,-40.50293,2025-08-24T19:25:20.811Z,887.26,276.73074,2022-06-18T20:55:45.957Z,,2025-11-26T09:41:17.488Z,+
mantle-restaked-eth,cmeth,Mantle Restaked ETH,https://coin-images.coingecko.com/coins/images/51114/large/symbol.png?1730117724,3131.42,285789690,225,285789690,7390680.0,3216.65,3095.63,34.7,1.12066,2247957.0,0.79281,91177.94723805318,91177.94723805318,,5306.91,-40.88374,2025-08-24T19:18:55.595Z,1480.7,111.87572,2025-04-09T01:30:47.033Z,,2025-11-26T09:41:06.800Z,+
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,https://coin-images.coingecko.com/coins/images/33800/large/Icon___Dark.png?1702991855,3076.39,1020129725,98,1020129725,54931.0,3148.7,3027.18,33.9,1.11434,-1251490.1523128748,-0.12253,331873.8238852747,331875.5269967787,,5190.42,-40.66159,2025-08-24T19:13:49.359Z,1029.61,199.13454,2025-09-02T07:53:14.684Z,,2025-11-26T09:41:17.666Z,+
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,https://coin-images.coingecko.com/coins/images/30061/large/wbeth-icon.png?1696528983,3148.65,10268786416,17,10268786416,6358508.0,3224.26,3100.79,33.55,1.07701,95648538.0,0.94021,3264439.74746977,3264439.74746977,,5330.78,-40.8158,2025-08-24T19:27:46.809Z,1501.6,110.10772,2025-04-09T03:57:40.245Z,,2025-11-26T09:41:17.038Z,+
arbitrum-bridged-weth-arbitrum-one,weth,Arbitrum Bridged WETH (Arbitrum One),https://coin-images.coingecko.com/coins/images/39713/large/WETH.PNG?1723731496,2905.13,472504651,156,474613562,270608061.0,2978.5,2868.06,30.52,1.06186,3370748.0,0.7185,162629.093637452,163354.9494083243,,4952.19,-41.17473,2025-08-24T19:25:21.070Z,1395.31,108.78122,2025-04-09T01:32:31.046Z,,2025-11-26T09:41:06.594Z,+
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2904.61,25057997132,9,25057997132,39045818.0,2975.28,2860.58,30.5,1.06112,258562297.0,1.04261,8633462.667743169,8633462.667743169,,4932.89,-41.01655,2025-08-24T19:21:31.902Z,482.9,502.5292,2020-12-22T04:08:21.854Z,,2025-11-26T09:41:17.049Z,+
binance-peg-weth,weth,Binance-Peg WETH,https://coin-images.coingecko.com/coins/images/39580/large/weth.png?1723006716,2908.31,1759575550,66,1759575550,63479926.0,2977.28,2857.95,30.18,1.04863,18313741.0,1.05175,604999.9999588211,604999.9999588211,,4955.78,-41.28282,2025-08-24T19:14:00.505Z,1394.32,108.69658,2025-04-09T01:32:41.942Z,,2025-11-26T09:41:05.222Z,+
stader-ethx,ethx,Stader ETHx,https://coin-images.coingecko.com/coins/images/30870/large/staderx.png?1696529717,3122.8,447152409,164,447152409,426964.0,3199.5,3081.09,32.38,1.04759,5033733.0,1.13855,143189.6947198831,143189.6947198831,,5253.42,-40.41916,2025-08-24T19:18:48.111Z,1474.49,112.27907,2025-04-09T01:32:31.885Z,,2025-11-26T09:41:06.325Z,+
ether-fi-staked-eth,eeth,ether.fi Staked ETH,https://coin-images.coingecko.com/coins/images/33049/large/ether.fi_eETH.png?1700473063,2910.3,350059055,198,7808212817,74906.0,2974.06,2856.94,29.91,1.03826,-53445804.01159346,-13.24539,120275.91220755359,2682804.247286961,,5307.23,-45.12266,2024-08-06T16:16:30.007Z,975.47,198.56964,2025-09-02T06:51:33.410Z,,2025-11-26T09:41:06.519Z,+
mantle-staked-ether,meth,Mantle Staked Ether,https://coin-images.coingecko.com/coins/images/33345/large/symbol_transparent_bg.png?1701697066,3137.01,726842937,119,726842937,2383725.0,3215.52,3091.75,32.06,1.03267,8310587.0,1.15661,231416.7908148492,231416.7908148492,,5312.55,-40.83352,2025-08-24T19:26:54.562Z,1485.62,111.57838,2025-04-09T01:32:38.082Z,,2025-11-26T09:41:05.862Z,+
