id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,change_direction
ultima,ultima,Ultima,https://coin-images.coingecko.com/coins/images/31844/large/ULTIMA-200x200.png?1763090865,3493.91,349390861,203,349390861,17387322.0,3739.11,3077.97,363.13,11.59874,35944287.0,11.46744,100000.0,100000.0,100000.0,22851.0,-84.4516,2025-02-14T11:01:57.263Z,2038.41,74.29822,2024-06-12T10:32:42.600Z,,2025-11-29T06:58:11.419Z,+
wrapped-ether-mantle-bridge,weth,Mantle Bridged WETH (Mantle),https://coin-images.coingecko.com/coins/images/31013/large/weth_2.jpg?1758795984,3089.96,255878513,247,255878513,2514968.0,3095.68,3001.6,87.57,2.9168,8412629.0,3.39951,82810.11286958876,82810.11286958876,,4962.42,-37.96126,2025-08-24T19:24:03.164Z,1402.44,119.51976,2025-04-09T01:32:36.128Z,,2025-11-29T06:58:12.324Z,+
sbtc-2,sbtc,sBTC,https://coin-images.coingecko.com/coins/images/54285/large/sbtc-logo-orange-bg-white-circle-1000px_2.png?1739000556,92783.0,406785366,180,406785366,30177.0,94666.0,89710.0,2460.71,2.72436,10939147.0,2.76348,4382.27955855,4382.27955855,,209313.0,-55.6515,2025-10-18T13:10:54.662Z,50597.0,83.46411,2025-06-06T20:20:33.912Z,,2025-11-29T06:58:09.812Z,+
mantle-restaked-eth,cmeth,Mantle Restaked ETH,https://coin-images.coingecko.com/coins/images/51114/large/symbol.png?1730117724,3303.15,300492303,222,300492303,5101722.0,3334.57,3243.5,56.77,1.74879,4510905.0,1.52405,90971.51837105317,90971.51837105317,,5306.91,-37.84319,2025-08-24T19:18:55.595Z,1480.7,122.77323,2025-04-09T01:30:47.033Z,,2025-11-29T06:58:07.175Z,+
mantle-staked-ether,meth,Mantle Staked Ether,https://coin-images.coingecko.com/coins/images/33345/large/symbol_transparent_bg.png?1701697066,3294.46,761428216,118,761428216,1453820.0,3346.93,3244.62,46.67,1.43684,10811191.0,1.44031,230998.9185731994,230998.9185731994,,5312.55,-37.42813,2025-08-24T19:26:54.562Z,1485.62,123.75601,2025-04-09T01:32:38.082Z,,2025-11-29T06:58:07.184Z,+
tether-gold,xaut,Tether Gold,https://coin-images.coingecko.com/coins/images/10481/large/Tether_Gold.png?1696510471,4214.9,2200505808,57,2200505808,366168900.0,4217.22,4144.15,45.18,1.08352,23532407.0,1.08097,522089.3,522089.3,,4392.88,-4.08345,2025-10-17T05:01:31.881Z,1447.84,191.01945,2020-03-19T13:45:41.821Z,,2025-11-29T06:58:11.094Z,+
pax-gold,paxg,PAX Gold,https://coin-images.coingecko.com/coins/images/9519/large/paxgold.png?1696509604,4231.98,1412467016,76,1412467016,178434598.0,4243.68,4160.41,40.48,0.96587,13559716.0,0.96931,333757.173,333757.173,,4448.72,-4.8492,2025-10-16T23:50:09.513Z,1399.64,202.43401,2019-11-18T03:09:35.959Z,,2025-11-29T06:58:08.688Z,+
l2-standard-bridged-weth-base,weth,L2 Standard Bridged WETH (Base),https://coin-images.coingecko.com/coins/images/39810/large/weth.png?1724139790,3032.58,535093756,148,535093756,29648220.0,3092.89,3002.76,21.31,0.70778,229634.0,0.04293,176448.2774828377,176448.2774828377,,4952.69,-38.76635,2025-08-24T19:25:21.091Z,1394.17,117.52789,2025-04-09T01:31:06.248Z,,2025-11-29T06:58:07.632Z,+
polygon-pos-bridged-weth-polygon-pos,weth,Polygon PoS Bridged WETH (Polygon POS),https://coin-images.coingecko.com/coins/images/39708/large/WETH.PNG?1723730343,3031.72,284200420,230,284200420,8617276.0,3088.92,3001.08,20.23,0.6719,-16223056.342607677,-5.40006,93728.08827704712,93728.08827704712,,4948.98,-38.72238,2025-08-24T19:27:23.389Z,1390.73,118.05932,2025-04-09T01:31:27.335Z,,2025-11-29T06:58:09.221Z,+
coinbase-wrapped-staked-eth,cbeth,Coinbase Wrapped Staked ETH,https://coin-images.coingecko.com/coins/images/27008/large/cbeth.png?1709186989,3344.42,390484788,187,1248220358,6187654.0,3416.75,3321.54,13.45,0.4037,2216102.0,0.57076,116791.3001271349,373334.0782232124,,5441.47,-38.52548,2025-08-24T19:27:49.680Z,1036.96,222.58998,2022-11-09T23:45:43.665Z,,2025-11-29T06:58:14.985Z,+
